Month,LocationName,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-05-01,United Kingdom,Peak,808597.34,-39092775.333,297820034.1392,-336912809.4722
2025-06-01,United Kingdom,OffPeak,813251.31,-38573354.1223,177004018.5674,-215577372.6897
2025-06-01,United Kingdom,Peak,829627.57,-39434430.6842,261091578.9723,-300526009.6565
2025-06-01,Switzerland,OffPeak,-735591.37,42693336.0406,95335439.867,-52642103.8264
2025-06-01,Switzerland,Peak,-801969.34,45825093.7876,140058175.1934,-94233081.40579998
2025-08-01,Switzerland,OffPeak,-203898.59,17737526.176400002,164804417.8391,-147066891.6627
2025-08-01,Switzerland,Peak,-184608.94,16723602.884800004,205406555.5332,-188682952.64839998
2025-03-01,Switzerland,OffPeak,176769.17,3073707.855900001,151283060.84579998,-148209352.9899
2025-03-01,Switzerland,Peak,170551.24,3432701.9774000007,179755957.555,-176323255.5776
2025-05-01,Switzerland,OffPeak,-936178.28,49922725.2304,137498001.7292,-87575276.49880001
2025-05-01,Switzerland,Peak,-955285.79,51248697.307000004,156952497.518,-105703800.211
2025-11-01,Switzerland,OffPeak,162745.05000000002,-843661.2528999987,131601148.3593,-132444809.6122
2025-11-01,Switzerland,Peak,210662.51,-3321536.773399999,163815139.6059,-167136676.3793
2025-12-01,Switzerland,OffPeak,28240.489999999998,5530961.177500001,116870431.6269,-111339470.44940001
2025-12-01,Switzerland,Peak,-3093.4999999999973,7023141.374300001,165566375.2926,-158543233.9183
