Month,LocationName,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-05-01,Switzerland,OffPeak,-396507.43,21744363.253200002,93972121.6182,-72227758.36500001
2025-05-01,Switzerland,Peak,-404961.44,22026943.2644,107579972.4512,-85553029.18679999
2025-06-01,Switzerland,OffPeak,-374423.18,20671304.9107,66690487.667600006,-46019182.756900005
2025-06-01,Switzerland,Peak,-321243.04,18009645.4015,97476307.4982,-79466662.0967
2025-07-01,Switzerland,OffPeak,934937.78,-46058912.6276,136464249.41640002,-182523162.04400003
2025-07-01,Switzerland,Peak,978595.03,-48234443.8455,232249135.3315,-280483579.177
2025-08-01,Switzerland,OffPeak,927792.84,-44324364.5038,150466190.1252,-194790554.629
2025-08-01,Switzerland,Peak,995250.03,-47709233.490499996,187726956.5402,-235436190.0307
2025-09-01,Switzerland,OffPeak,-237936.27,17693862.975400005,150950162.06820002,-133256299.09280002
2025-09-01,Switzerland,Peak,-177622.94,14337863.334900003,188264946.8604,-173927083.5255
2025-10-01,Switzerland,OffPeak,21446.19,-1665814.5988999982,111896033.04990001,-113561847.64880002
2025-10-01,Switzerland,Peak,-3675.06,-391234.6954999985,152687568.0374,-153078802.7329
2025-11-01,Switzerland,OffPeak,19286.21,-1253362.6575999986,94359818.2599,-95613180.9175
2025-11-01,Switzerland,Peak,30163.260000000002,-1812707.0324999986,119320997.348,-121133704.3805
2025-12-01,Switzerland,OffPeak,-141617.18,6800611.900500002,79972151.161,-73171539.2605
2025-12-01,Switzerland,Peak,-181212.73,8575296.141900003,116482227.4629,-107906931.321
2025-06-01,United Kingdom,OffPeak,-993991.58,47709777.5154,90666310.13360001,-42956532.61820001
2025-06-01,United Kingdom,Peak,-979324.57,46664210.4145,133842974.77409999,-87178764.3596
2025-04-01,Spain,OffPeak,368421.83999999997,-14683570.3695,113393723.7972,-128077294.16669999
2025-04-01,Spain,Peak,329198.99,-12627974.2103,152423731.7638,-165051705.9741
2025-04-01,Germany,OffPeak,447392.44,-23132917.586999997,150373097.8904,-173506015.4774
2025-04-01,Germany,Peak,405319.85,-21000909.1073,201694714.7698,-222695623.8771
2025-05-01,Germany,OffPeak,399637.15,-20720172.205799997,151484247.369,-172204419.57479998
2025-05-01,Germany,Peak,425240.02999999997,-21849677.875299998,174102075.9756,-195951753.8509
2025-06-01,Germany,OffPeak,823781.99,-40929443.9395,116274773.46900001,-157204217.40850002
2025-06-01,Germany,Peak,813259.14,-40393330.751499996,170224294.85099998,-210617625.60249996
2025-07-01,Spain,OffPeak,-119234.59,3334392.983499999,118338724.88460001,-115004331.90110001
2025-07-01,Spain,Peak,-115291.74,3061714.863499999,203742392.938,-200680678.0745
2025-08-01,United Kingdom,OffPeak,-735457.41,30239797.9102,145262613.1909,-115022815.2807
2025-08-01,United Kingdom,Peak,-731997.02,29547095.073400002,180244695.8004,-150697600.727
2025-03-01,Germany,OffPeak,892355.79,-43116185.7745,136006803.3714,-179122989.1459
2025-03-01,Germany,Peak,932558.2,-45131170.776,162637410.855,-207768581.63099998
2025-01-01,Germany,OffPeak,762547.86,-38057880.3641,89976147.3054,-128034027.6695
2025-01-01,Germany,Peak,822168.86,-40860470.2854,164965127.297,-205825597.5824
2025-02-01,Germany,OffPeak,777467.34,-37508863.4428,102985244.0784,-140494107.5212
2025-02-01,Germany,Peak,801794.83,-38862406.1325,146104649.48070002,-184967055.6132
2025-08-01,Germany,OffPeak,553401.93,-24395587.2991,116775176.2981,-141170763.5972
2025-08-01,Germany,Peak,560495.36,-24721110.739099998,144953266.53919998,-169674377.2783
2025-09-01,Germany,OffPeak,738100.0,-33586338.6137,94285172.8476,-127871511.4613
2025-09-01,Germany,Peak,735027.82,-33526768.6214,120138117.3766,-153664885.998
2025-10-01,Germany,OffPeak,959736.91,-45246126.3821,89269510.5729,-134515636.95499998
2025-10-01,Germany,Peak,921088.38,-43389235.9463,119785178.37,-163174414.3163
2025-11-01,Germany,OffPeak,506308.86,-21904144.505,69804693.94500001,-91708838.45
2025-11-01,Germany,Peak,494694.62,-21303230.8592,90515109.4278,-111818340.287
2025-12-01,Germany,OffPeak,567442.1,-25101739.5674,64445052.7294,-89546792.2968
2025-12-01,Germany,Peak,597208.35,-26420130.2982,95457023.1351,-121877153.4333
2025-01-01,United Kingdom,OffPeak,-388136.95,16627062.6283,88247881.2681,-71620818.6398
2025-01-01,United Kingdom,Peak,-371579.17,15689157.9255,165348095.9063,-149658937.9808
2025-02-01,United Kingdom,OffPeak,-303575.73,12444761.7151,111549461.58060001,-99104699.8655
2025-02-01,United Kingdom,Peak,-254591.88,9849033.0984,159225286.3536,-149376253.2552
2025-03-01,United Kingdom,OffPeak,-385344.57,16735396.442000002,127032026.823,-110296630.381
2025-03-01,United Kingdom,Peak,-349636.34,15087197.752500001,150452878.27,-135365680.5175
2025-04-01,United Kingdom,OffPeak,-616883.11,27092564.391200002,124953672.27419999,-97861107.88299999
2025-04-01,United Kingdom,Peak,-610635.0,26819785.7325,166401265.282,-139581479.5495
2025-05-01,United Kingdom,OffPeak,-1093684.67,51270695.7206,129286790.06179999,-78016094.3412
2025-05-01,United Kingdom,Peak,-1096400.91,51441557.2499,151679227.0444,-100237669.79450001
2025-07-01,United Kingdom,OffPeak,-1061549.47,49242321.2511,97045413.8214,-47803092.5703
2025-07-01,United Kingdom,Peak,-1084646.13,50303645.5978,168406238.3385,-118102592.74069999
2025-09-01,United Kingdom,OffPeak,-898515.44,42071991.4581,101669313.84480001,-59597322.38670001
2025-09-01,United Kingdom,Peak,-870696.81,40381898.08,128431126.84549999,-88049228.7655
2025-03-01,Spain,OffPeak,-720884.13,35621736.9435,160415159.7126,-124793422.7691
2025-03-01,Spain,Peak,-761148.37,37597463.6568,194794752.3875,-157197288.7307
2025-01-01,Spain,OffPeak,-699271.24,35060337.7494,104282480.277,-69222142.52759999
2025-01-01,Spain,Peak,-728555.3,36707309.1453,189097606.6744,-152390297.5291
2025-02-01,Spain,OffPeak,-637119.57,32413742.164899997,125184965.7018,-92771223.53690001
2025-02-01,Spain,Peak,-658652.74,33255584.4425,180755880.3528,-147500295.91030002
2025-05-01,Spain,OffPeak,-88029.05,8470086.014,126581160.96779999,-118111074.9538
2025-05-01,Spain,Peak,-73065.22,7736846.8379999995,149114553.372,-141377706.534
2025-06-01,Spain,OffPeak,187844.65,-3893114.8944000006,102711671.0374,-106604785.93180001
2025-06-01,Spain,Peak,202640.41999999998,-4918003.9785,146842756.7292,-151760760.7077
2025-08-01,Spain,OffPeak,-28357.760000000002,1788228.7047999988,124139146.95639999,-122350918.2516
2025-08-01,Spain,Peak,-32355.73,2011115.8383999984,151015351.081,-149004235.2426
2025-09-01,Spain,OffPeak,-170008.8,8742240.2105,117901901.6208,-109159661.4103
2025-09-01,Spain,Peak,-163980.01,8187745.5456,148692483.0909,-140504737.5453
2025-10-01,Spain,OffPeak,-120705.34,13166357.156999998,117395796.7458,-104229439.58880001
2025-10-01,Spain,Peak,-131359.04,13411137.913199998,160513739.111,-147102601.1978
2025-11-01,Spain,OffPeak,-384895.98,25576675.479599997,124056994.5486,-98480319.069
2025-11-01,Spain,Peak,-344493.82,23657777.2152,158966564.4226,-135308787.2074
2025-12-01,Spain,OffPeak,-348799.86,24435819.997999996,101320734.98120001,-76884914.98320001
2025-12-01,Spain,Peak,-377790.85,25997427.2521,144612519.5799,-118615092.3278
